ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
207,batt_bel69,1,69,battery,0.5264739215962932,0.0,0.5264739215962932,0.1083120828877585
208,pltd_bel70,1,70,diesel,0.003072739413431413,0.0632,-0.060127260586568594,0.0011895386384700158
209,plts_bel70,1,70,solar,0.17421123798346025,0.0,0.17421123798346025,0.041446438267533796
210,batt_bel70,1,70,battery,0.09652995042020293,0.0,0.09652995042020293,0.01985922154458877
211,pltd_bel71,1,71,diesel,0.007224675733375394,0.1485,-0.1412753242666246,0.002796815952047991
212,plts_bel71,1,71,solar,0.4081839925297076,0.0,0.4081839925297076,0.09744933857995196
213,batt_bel71,1,71,battery,0.2269563713013309,0.0,0.2269563713013309,0.04669198404617174
214,pltd_bel72,1,72,diesel,0.0062653953067099795,0.1288,-0.12253460469329001,0.002425555507246645
215,plts_bel72,1,72,solar,0.3505190913528866,0.0,0.3505190913528866,0.08451037118257519
216,batt_bel72,1,72,battery,0.1968308421675661,0.0,0.1968308421675661,0.04049423744708577
217,pltd_bel73,1,73,diesel,0.004796360960070821,0.0986,-0.09380363903992917,0.001856787900862327
218,plts_bel73,1,73,solar,0.27455582793954736,0.0,0.27455582793954736,0.06469680836386404
219,batt_bel73,1,73,battery,0.15067942286186567,0.0,0.15067942286186567,0.03099945656296636
220,pltd_bel74,1,74,diesel,0.034609501866657566,0.7113,-0.6766904981333425,0.013398073696033585
221,plts_bel74,1,74,solar,1.9429757159738428,0.0,1.9429757159738428,0.4668301405707194
222,batt_bel74,1,74,battery,1.0873092926035512,0.0,1.0873092926035512,0.2236933933241346
223,pltd_bel75,1,75,diesel,0.007434446186702576,0.1528,-0.1453655538132974,0.002878047849643842
224,plts_bel75,1,75,solar,0.41592710293313434,0.0,0.41592710293313434,0.1002803527262252
225,batt_bel75,1,75,battery,0.23356055931773206,0.0,0.23356055931773206,0.04805068221499198
226,pltd_bel76,1,76,diesel,0.0033424194134194242,0.0687,-0.06535758058658057,0.001293966038463901
227,plts_bel76,1,76,solar,0.18799635052301106,0.0,0.18799635052301106,0.04508584784865381
228,batt_bel76,1,76,battery,0.10501113574109532,0.0,0.10501113574109532,0.021604061815518497
229,pltd_bel77,1,77,diesel,0.015318603413312823,0.3149,-0.2995813965866872,0.005930127358423183
230,plts_bel77,1,77,solar,0.8051301091343479,0.0,0.8051301091343479,0.2066263475575244
231,batt_bel77,1,77,battery,0.4812565915900919,0.0,0.4812565915900919,0.09900949103688293
232,pltd_bel78,1,78,diesel,0.004856424320064581,0.0998,-0.09494357567993542,0.0018800415536578785
233,plts_bel78,1,78,solar,0.27584485666622754,0.0,0.27584485666622754,0.06550558095746033
234,batt_bel78,1,78,battery,0.1525650076979551,0.0,0.1525650076979551,0.0313873802331879
235,pltd_bel79,1,79,diesel,0.0032224824534238692,0.0662,-0.06297751754657613,0.0012474716576659464
236,plts_bel79,1,79,solar,0.18167417777762143,0.0,0.18167417777762143,0.04346825423635835
237,batt_bel79,1,79,battery,0.1012394199175875,0.0,0.1012394199175875,0.020828095999409935
238,pltd_bel80,1,80,diesel,0.005245964373372217,0.1078,-0.10255403562662779,0.0020308362592410057
239,plts_bel80,1,80,solar,0.28271177495733574,0.0,0.28271177495733574,0.07076239051800405
240,batt_bel80,1,80,battery,0.16481067233256946,0.0,0.16481067233256946,0.03390668909549093
241,pltd_bel81,1,81,diesel,0.008139293226695984,0.1673,-0.15916070677330402,0.0031508077888416394
242,plts_bel81,1,81,solar,0.4540791019212956,0.0,0.4540791019212956,0.10978268393788695
243,batt_bel81,1,81,battery,0.2556916743058378,0.0,0.2556916743058378,0.05260373645254096
244,pltd_kup82,1,82,diesel,0.03248126293332001,0.6676,-0.63511873706668,0.012574113608023534
245,plts_kup82,1,82,solar,1.752166227083438,0.0,1.752166227083438,0.4381192874463892
246,batt_kup82,1,82,battery,1.0203990121210473,0.0,1.0203990121210473,0.20992783681030097
247,pltd_kup83,1,83,diesel,0.017836685013320478,0.3666,-0.3487633149866795,0.006904997926426182
248,plts_kup83,1,83,solar,0.9621956784637582,0.0,0.9621956784637582,0.24059154549919853
249,batt_kup83,1,83,battery,0.5603483159885523,0.0,0.5603483159885523,0.1152811040329164
250,pltd_kup84,1,84,diesel,0.023502256959995773,0.4831,-0.4595977430400042,0.00909835398082461
251,plts_kup84,1,84,solar,1.2678345615965365,0.0,1.2678345615965365,0.3170147532197318
252,batt_kup84,1,84,battery,0.738341157520629,0.0,0.738341157520629,0.15189978876144627
253,pltd_kup85,1,85,diesel,0.003597083520064529,0.0739,-0.07030291647993546,0.001392504769650838
254,plts_kup85,1,85,solar,0.19405662375253752,0.0,0.19405662375253752,0.04852276434104249
255,batt_kup85,1,85,battery,0.11301173484432238,0.0,0.11301173484432238,0.023250046547512865
256,pltd_kup86,1,86,diesel,0.02276836810666176,0.468,-0.44523163189333825,0.008814046651224811
257,plts_kup86,1,86,solar,1.228214197734416,0.0,1.228214197734416,0.30710803872665077
258,batt_kup86,1,86,battery,0.7152681730283675,0.0,0.7152681730283675,0.14715291844688105
259,pltd_kup87,1,87,diesel,0.020819970453324003,0.4279,-0.407080029546676,0.008059873897625202
260,plts_kup87,1,87,solar,1.1230997906246034,0.0,1.1230997906246034,0.2808247558735768
261,batt_kup87,1,87,battery,0.6540528170240356,0.0,0.6540528170240356,0.13455902863510857
262,pltd_kup88,1,88,diesel,0.009622794666671751,0.1978,-0.18817720533332824,0.0037252314400315805
