Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,93,2000.0,6.392222036941715e-16,7.179350867187669e-13,Inf
1,94,2000.0,6.392214253779006e-16,7.179350485177146e-13,Inf
1,95,2000.0,6.392196416664081e-16,7.174364354596799e-13,Inf
1,96,2000.0,6.392197041015807e-16,7.175737528009712e-13,Inf
1,97,2000.0,6.392209177233656e-16,7.175469448148852e-13,Inf
1,98,2000.0,6.39219608659862e-16,7.17522335332978e-13,Inf
1,99,2000.0,6.392197755609182e-16,7.174729760449698e-13,Inf
1,100,2000.0,6.392216970068683e-16,7.175649546645921e-13,Inf
1,101,2000.0,6.392211403603603e-16,7.1762555730896e-13,Inf
1,102,2000.0,6.392213524802867e-16,7.177870303168099e-13,Inf
1,103,2000.0,6.392215279963602e-16,7.177458722685785e-13,Inf
1,104,2000.0,6.39221648896299e-16,7.177148982526716e-13,Inf
1,105,2000.0,6.39221140537469e-16,7.175696251365211e-13,Inf
1,106,2000.0,6.3922051521628995e-16,7.176279937762762e-13,Inf
1,107,2000.0,6.392205499560581e-16,7.175547598334593e-13,Inf
1,108,2000.0,6.392210764754002e-16,7.179350309186035e-13,Inf
1,109,2000.0,6.3922124969885465e-16,7.17401858981393e-13,Inf
1,110,2000.0,6.392207757356728e-16,7.176933565884814e-13,Inf
1,111,2000.0,6.39221430330281e-16,7.178942397547413e-13,Inf
1,112,2000.0,6.392215199495246e-16,7.183116036417531e-13,Inf
1,113,2000.0,6.392217650640822e-16,7.177040852942689e-13,Inf
1,114,2000.0,6.392212030830064e-16,7.177935069420607e-13,Inf
1,115,2000.0,6.392212113095761e-16,7.176679053113051e-13,Inf
1,116,2000.0,6.392212373347663e-16,7.178273125807279e-13,Inf
1,117,2000.0,6.392215866322777e-16,7.179225016071167e-13,Inf
1,118,2000.0,6.392212834733095e-16,7.178255053028205e-13,Inf
1,119,2000.0,6.392210902155649e-16,7.178466158578874e-13,Inf
1,120,2000.0,6.392212968488564e-16,7.176130947406551e-13,Inf
1,121,2000.0,6.392215804517482e-16,7.174542643629542e-13,Inf
1,122,2000.0,6.39221329685362e-16,7.175804919295696e-13,Inf
1,123,2000.0,6.39221261988626e-16,7.180039219274166e-13,Inf
1,124,2000.0,6.392213081922975e-16,7.180441535693009e-13,Inf
1,125,2000.0,6.392215983525546e-16,7.178316756106596e-13,Inf
1,126,2000.0,6.392213729702734e-16,7.179942331512385e-13,Inf
1,127,2000.0,6.392217792767051e-16,7.18065110425817e-13,Inf
1,128,2000.0,6.392216914039112e-16,7.175915298536225e-13,Inf
1,129,2000.0,6.392215937169302e-16,7.182123895194671e-13,Inf
1,130,2000.0,6.392214101752256e-16,7.177191679894473e-13,Inf
1,131,2000.0,6.392215369797315e-16,7.176405374883016e-13,Inf
1,132,2000.0,6.392213569840387e-16,7.183789015117199e-13,Inf
1,133,2000.0,6.392211634481102e-16,7.173048285673793e-13,Inf
1,134,2000.0,6.392215835576135e-16,7.174317226351229e-13,Inf
1,135,2000.0,6.392218352505389e-16,7.171877675382193e-13,Inf
1,136,2000.0,6.392212970667587e-16,7.172540619310195e-13,Inf
1,137,2000.0,6.392200066793415e-16,7.179349769066429e-13,Inf
1,138,2000.0,6.3921992063963305e-16,7.190176698687744e-13,Inf
1,139,2000.0,6.392216367561715e-16,7.180606263768116e-13,Inf
1,140,2000.0,6.392187394264251e-16,7.185165298154644e-13,Inf
1,141,2000.0,6.392207245921416e-16,7.200217726091137e-13,Inf
1,142,2000.0,6.392211568229912e-16,7.204956472285257e-13,Inf
1,143,2000.0,6.392214210078383e-16,7.179505617871817e-13,Inf
1,144,2000.0,6.392211218177619e-16,7.185982942164238e-13,Inf
1,145,2000.0,6.392211440284499e-16,7.179018964292423e-13,Inf
1,146,2000.0,6.392209824509553e-16,7.183204501028326e-13,Inf
1,147,2000.0,6.392192418325234e-16,7.188957772454256e-13,Inf
1,148,2000.0,6.392190868098697e-16,7.186324886662318e-13,Inf
1,149,2000.0,6.39220695253887e-16,7.201032330988053e-13,Inf
1,150,2000.0,6.392214813500178e-16,7.197034938605631e-13,Inf
1,151,2000.0,6.392209056092893e-16,7.195373401304168e-13,Inf
1,152,2000.0,6.392213729828952e-16,7.179350459346969e-13,Inf
1,153,2000.0,6.392200527900158e-16,7.179349792369529e-13,Inf
1,154,2000.0,6.392209299569952e-16,7.186122180047556e-13,Inf
1,155,2000.0,6.392211850512365e-16,7.195744611100812e-13,Inf
1,156,2000.0,6.392205439416311e-16,7.198430493367845e-13,Inf
1,157,2000.0,6.392214318861924e-16,7.18777289008343e-13,Inf
1,158,2000.0,6.392206153416967e-16,7.177656657040054e-13,Inf
1,159,2000.0,6.392203533743439e-16,7.189176864987793e-13,Inf
1,160,2000.0,6.392215143929146e-16,7.169159075706174e-13,Inf
1,161,2000.0,6.392214624508795e-16,7.178131144236858e-13,Inf
1,162,2000.0,6.392211026320588e-16,7.183769477759766e-13,Inf
1,163,2000.0,6.392208859739482e-16,7.185056101798031e-13,Inf
1,164,2000.0,6.392207104851377e-16,7.189206085921374e-13,Inf
1,165,2000.0,6.392209009104551e-16,7.188408849522944e-13,Inf
1,166,2000.0,6.39220859001721e-16,7.184213039677114e-13,Inf
1,167,2000.0,6.39219882878414e-16,7.176825183902728e-13,Inf
1,168,2000.0,6.3922099386729985e-16,7.18939210500603e-13,Inf
1,169,2000.0,6.392219274252375e-16,7.179162909644902e-13,Inf
1,170,2000.0,6.392217712515789e-16,7.181990667464044e-13,Inf
1,171,2000.0,6.392216993815794e-16,7.181717409238081e-13,Inf
1,172,2000.0,6.392208458134813e-16,7.182146341322286e-13,Inf
1,173,2000.0,6.392215422102958e-16,7.176941070387563e-13,Inf
1,174,2000.0,6.392215403499473e-16,7.179350542077307e-13,Inf
1,175,2000.0,6.392213781210681e-16,7.177935158079823e-13,Inf
1,176,2000.0,6.39220859553444e-16,7.177667550514268e-13,Inf
1,177,2000.0,6.392218887759504e-16,7.177895776116308e-13,Inf
