ID,Zone,Total_Import_MWh,Peak_Import_MW
661,1,0.0,0.0
662,1,0.0,0.0
663,1,0.0,0.0
664,1,0.003699950736720258,0.0031279507367202586
665,1,0.0,0.0
666,1,0.0,0.0
667,1,0.0,0.0
668,1,0.0,0.0
669,1,0.0,0.0
670,1,0.0009549999999999975,0.0009549999999999975
671,1,0.0,0.0
672,1,0.0,0.0
673,1,0.0,0.0
674,1,0.0,0.0
675,1,0.0,0.0
676,1,0.0,0.0
677,1,0.0,0.0
678,1,0.0,0.0
679,1,0.0,0.0
680,1,0.0,0.0
681,1,0.0,0.0
682,1,0.013021918714555925,0.0018602741020796731
683,1,0.0,0.0
684,1,0.0,0.0
685,1,0.0,0.0
686,1,0.0,0.0
687,1,0.0,0.0
688,1,0.0,0.0
689,1,0.0,0.0
690,1,0.00046199999999999714,0.00046199999999999714
691,1,0.0,0.0
692,1,0.0,0.0
693,1,0.0,0.0
694,1,0.002987671963048298,0.002987671963048298
695,1,0.0,0.0
696,1,0.0,0.0
697,1,0.0,0.0
698,1,0.0,0.0
699,1,0.0,0.0
700,1,0.0,0.0
701,1,0.0,0.0
702,1,0.0,0.0
703,1,0.0,0.0
704,1,0.0,0.0
705,1,0.0,0.0
706,1,0.0,0.0
707,1,0.0,0.0
708,1,0.0,0.0
709,1,0.0,0.0
710,1,0.008716637776124414,0.002490467936035634
711,1,0.0,0.0
712,1,0.0,0.0
713,1,0.0,0.0
714,1,0.0,0.0
715,1,0.0,0.0
716,1,0.0,0.0
717,1,0.0,0.0
718,1,0.0,0.0
719,1,0.0,0.0
720,1,0.03881644234404737,0.005545206049150486
721,1,0.0,0.0
722,1,0.04966613440000059,0.004934000000000158
723,1,0.0,0.0
724,1,0.045434846880903754,0.004235846880903749
725,1,0.0,0.0
726,1,0.01437237183634982,0.0015890000000000626
727,1,0.0,0.0
728,1,0.0,0.0
729,1,0.0,0.0
730,1,0.026049542872806038,0.0024830000000001518
731,1,0.0,0.0
732,1,0.00033366666666673786,0.00028600000000000153
733,1,0.0,0.0
734,1,0.004078034592342142,0.004078034592342142
735,1,0.0,0.0
736,1,0.0,0.0
737,1,0.0,0.0
738,1,0.0020580000000002263,0.001470000000000235
739,1,0.0,0.0
740,1,0.0,0.0
741,1,0.0,0.0
742,1,0.0,0.0
743,1,0.0,0.0
744,1,0.0,0.0
745,1,0.0,0.0
746,1,0.0,0.0
747,1,0.0,0.0
748,1,0.0,0.0
749,1,0.0,0.0
750,1,0.0,0.0
751,1,0.0,0.0
752,1,0.03265308485612327,0.0032310000000000116
753,1,0.0,0.0
754,1,0.0007409999999999986,0.0007409999999999986
755,1,0.0,0.0
756,1,0.0,0.0
757,1,0.0,0.0
758,1,0.006593536862005735,0.006593536862005735
759,1,0.0,0.0
760,1,0.09457147566720125,0.012715000000000448
761,1,0.0,0.0
762,1,0.0,0.0
763,1,0.0,0.0
764,1,0.0,0.0
765,1,0.0,0.0
766,1,0.0,0.0
767,1,0.0,0.0
768,1,0.005180402456347849,0.005180402456347849
769,1,0.0,0.0
770,1,0.009287193761816137,0.0026534839319476977
771,1,0.0,0.0
772,1,0.0,0.0
773,1,0.0,0.0
774,1,0.0,0.0
775,1,0.0,0.0
776,1,0.0,0.0
777,1,0.0,0.0
778,1,0.0,0.0
779,1,0.0,0.0
780,1,0.0,0.0
