ID,Zone,Connected,Total_Import_MWh,Total_Export_MWh
234,1,1,0.0,0.0
235,1,1,0.0,0.0
236,1,1,0.0,0.0
237,1,1,0.002492419413333391,0.0
238,1,1,0.030491999999997965,0.0
239,1,1,0.008430792060491066,0.0
240,1,1,0.0,0.0
241,1,1,0.0038325000000004454,0.0
242,1,1,0.0,0.0
243,1,1,0.012438999999999877,0.0
244,1,1,0.0,0.0
245,1,1,0.011196717345117513,0.0
246,1,1,0.0,0.0
247,1,1,0.008174412480008839,0.0
248,1,1,0.0,0.0
249,1,1,0.0,0.0
250,1,1,0.06748394944000699,0.0
251,1,1,0.0,0.0
252,1,1,0.0005572361889410291,0.0
253,1,1,0.0020611829333333637,0.0
254,1,1,0.00252215605333328,0.0
255,1,1,0.011532413439999726,0.0
256,1,1,0.0,0.0
257,1,1,0.0020197133866665315,0.0
258,1,1,0.0,0.0
259,1,1,0.0,0.0
260,1,1,0.0,0.0
261,1,1,0.0,0.0
262,1,1,0.0,0.0
263,1,1,0.0,0.0
264,1,1,0.0,0.0
265,1,1,0.0,0.0
266,1,1,0.0,0.0
267,1,1,0.0651980000000052,0.0
268,1,1,0.009714338714741536,0.0
269,1,1,0.0,0.0
270,1,1,0.0,0.0
271,1,1,0.0,0.0
272,1,1,0.0,0.0
273,1,1,0.01152575803402256,0.0
274,1,1,0.006487974480151971,0.0
275,1,1,0.0,0.0
276,1,1,0.004086828160001429,0.0
277,1,1,0.013300981120000135,0.0
278,1,1,0.005816999999999231,0.0
279,1,1,0.0,0.6273524846540434
280,1,1,0.0,0.0
281,1,1,0.0,0.0
282,1,1,0.009158669565220802,0.0
283,1,1,0.0,0.0
284,1,1,0.0,0.0
285,1,1,0.0,0.0
286,1,1,0.005833537919999937,0.0
287,1,1,0.0015006151466666964,0.0
288,1,1,0.0020311231999999993,0.0
289,1,1,0.0,0.0
290,1,1,0.0029889999999994643,0.0
291,1,1,0.015007999999917683,1.7740252638928802
292,1,1,0.012691000000002117,0.0
293,1,1,0.020124999999997686,0.0
294,1,1,0.02360834613333307,0.0
